| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  105  | 1428  |  442  | +4.5404e-10 | 5.29e+00 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  106  | 1452  |  450  | +4.5404e-10 | 5.29e-01 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  107  | 1476  |  458  | +4.5404e-10 | 5.29e-02 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  108  | 1500  |  464  | +4.5404e-10 | 5.29e-03 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  109  | 1524  |  475  | +4.5404e-10 | 5.29e-04 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   1   |
|  110  | 1548  |  482  | +4.5404e-10 | 5.29e-05 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  111  | 1572  |  493  | +4.5404e-10 | 5.29e-06 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   1   |
|  112  | 1596  |  503  | +4.5404e-10 | 5.29e-07 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   2   |
|  113  | 1620  |  509  | +4.5404e-10 | 2.64e-07 | 9.54e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   2   |
|  114  | 1644  |  515  | +4.5404e-10 | 2.64e-07 | 9.85e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   2   |
|  115  | 1668  |  521  | +4.5404e-10 | 1.32e-07 | 9.85e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   2   |
|  116  | 1692  |  525  | +4.5404e-10 | 1.32e-07 | 7.51e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  117  | 1704  |  533  | +4.5404e-10 | 4.84e-08 | 7.51e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  118  | 1716  |  539  | +4.5404e-10 | 4.84e-08 | 7.85e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   2   |
|  119  | 1728  |  544  | +4.5404e-10 | 8.37e-08 | 6.12e-08 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  120  | 1728  |  544  | +4.5404e-10 | 1.00e+00 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   0   |
|  121  | 1752  |  555  | +4.5404e-10 | 1.00e-01 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   1   |
|  122  | 1776  |  564  | +4.5404e-10 | 1.00e-02 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   4   |
|  123  | 1800  |  573  | +4.5404e-10 | 1.00e-03 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   4   |
|  124  | 1824  |  583  | +4.5404e-10 | 1.00e-04 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   4   |
|  125  | 1848  |  591  | +4.5404e-10 | 1.00e-05 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   4   |
|  126  | 1872  |  600  | +4.5404e-10 | 1.00e-06 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   4   |
|  127  | 1896  |  611  | +4.5404e-10 | 1.00e-07 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   1   |
|  128  | 1920  |  617  | +4.5404e-10 | 5.00e-08 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  129  | 1944  |  622  | +4.5404e-10 | 2.50e-08 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  130  | 1968  |  627  | +4.5404e-10 | 1.25e-08 | 6.00e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  131  | 1980  |  632  | +4.5404e-10 | 2.50e-08 | 9.58e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  132  | 2004  |  639  | +4.5404e-10 | 1.02e-08 | 9.58e-08 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  133  | 2028  |  645  | +4.5404e-10 | 2.05e-08 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  134  | 2052  |  652  | +4.5404e-10 | 7.01e-09 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  135  | 2076  |  658  | +4.5404e-10 | 3.51e-09 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  136  | 2100  |  664  | +4.5404e-10 | 1.51e-09 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  137  | 2124  |  667  | +4.5404e-10 | 4.63e-10 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  138  | 2148  |  669  | +4.5404e-10 | 1.23e-10 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |
|  139  | 2172  |  671  | +4.5404e-10 | 4.56e-11 | 1.53e-07 | 0.00e+00 | 1.00e+00 |  1.28e-08   |   2   |

`xtol` termination condition is satisfied.
Number of iterations: 139, function evaluations: 2172, CG iterations: 671, optimality: 1.53e-07, constraint violation: 0.00e+00, execution time: 7.5e+01 s.
